Song Name,Artist,Album,Duration
"Good Night (feat. Twelve'len & Nell)","Denzel Curry","Imperial",4:07
"Gorilla Monsoon","Westside Gunn & MF DOOM","WestSide Doom",3:57
"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)","Mac Miller","The Divine Feminine",4:33
"Grapejuice","Harry Styles","Harry's House",4:22
"Guerrilla Radio","Rage Against The Machine","The Battle Of Los Angeles",3:12
"Gvnman Session (feat. John Coop & Shacko DiTruth)","Skeng","Gvnman Session",3:27
"Gvnman Shift","Skeng","Gvnman Shift",2:33
"Hand Me Downs","Mac Miller","Circles (Deluxe)",3:25
"Hands","Mac Miller","Circles (Deluxe)",4:59
"Handsomeness","Dave East","Karma 3",3:20
"Hard to Find","idontknowjeffery","Hard to Find",2:54
"Harder Than My Demons","Big Sean","Detroit 2",2:09
"Harold’s","Freddie Gibbs & Madlib","Piñata",2:12
"Hearing","Sleeping At Last","Atlas: Senses",2:50
"Heart Attack","scarlxrd","Chaxsthexry",4:08
"Heartless","The Weeknd","After Hours",3:14
"Heaven On Earth","Kid Cudi","Man On The Moon III: The Chosen",3:19
"Hellcat (feat. Shakewell)","Germ","The Hijinx Tape",3:22
"Hello","ZillaKami","DOG BOY",1:57
"Her","Kota the Friend","Her",2:29
"High (feat. Danny Brown)","Freddie Gibbs & Madlib","Piñata",4:26
"High For Hours","J. Cole","High For Hours",2:58
"High For Hours","J. Cole","High For Hours",2:58
"Hit","Kenny Mason","Hit",4:12
"Hit List","That Mexican OT, BigXthaPlug, & Big Yavo","Lonestar Luchador",2:38
"Home (feat. BJ The Chicago Kid)","Freddie Gibbs & Madlib","Knicks Remix",3:06
"Home For A Rest","Spirit of the West","Save This House",2:14
"Homesick","Freddie Gibbs","You Only Live 2wice",4:37
"Homicide (feat. Eminem)","Logic","Confessions of a Dangerous Mind",4:30
"Hooked On A Feeling","Blue Swede & Björn Skifs","Pinewood Rally",2:53
"Hop Is Back","Hopsin","Knock Madness",3:34
"Hope","XXXTENTACION","?",1:50
"HOT ONE (feat. TiaCorine & A$AP Ferg)","Denzel Curry","HOT ONE",2:46
"HOT SHELLS","City Morgue, ZillaKami & SosMula","CITY MORGUE VOL 3: BOTTOM OF THE BARREL",4:25
"Housewives","Bas","Too High To Riot",3:31
"Housewives (Remix) (feat. Ab-Soul)","Bas","Housewives (Remix)",4:06
"How Great (feat. Jay Electronica & My cousin Nicole)","Chance the Rapper","Coloring Book",3:26
"HUMBLE.","Kendrick Lamar","DAMN. COLLECTORS EDITION.",5:38
"Hunnids","Ramirez","THE PLAYA$ MANUAL",2:57
"Hurt Feelings","Mac Miller","Swimming",2:15
"I Can See","Mac Miller","Circles (Deluxe)",4:06
"I Get a Kick Out of You","Ella Fitzgerald","Night and Day",3:41
"I Heard You Were Looking for Me","Night Lovell","I Heard You Were Looking for Me",4:04
"I Hit These Licks for You Momma (feat. Yoshi Thompkins)","Bass Santana","I Hit These Licks for You Momma (feat. Yoshi Thompkins)",3:06
"I spoke to the devil in miami, he said everything would be fine","XXXTENTACION","LOOK AT ME: THE ALBUM",3:38
"I Want You Back","Jackson 5","Greatest Hits",2:59
"I Want You Back","Jackson 5","Diana Ross Presents The Jackson 5",2:59
"Icarus (feat. Ari Lennox)","Bas","Milky Way",3:41
